"","Path","Filename","HiF","LoF","SppAccp","Prob","calls.sec","X1st","X.Spp","X.Prob","source"
"4130","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093517-noID.wav","IRON05_20210730_093517-noID.wav",NA,1,"",NA,24.62,"Laci","Laci","0.9404","v.4.4.5"
"4131","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093755-noID.wav","IRON05_20210730_093755-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4132","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093812-noID.wav","IRON05_20210730_093812-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4133","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093847-LoF.wav","IRON05_20210730_093847-LoF.wav",NA,NA,"",NA,46.75,"","","","v.4.4.5"
"4134","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093854-noID.wav","IRON05_20210730_093854-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4135","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093923-noID.wav","IRON05_20210730_093923-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4136","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_093941-noID.wav","IRON05_20210730_093941-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4137","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094015-noID.wav","IRON05_20210730_094015-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4138","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094103-noID.wav","IRON05_20210730_094103-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4139","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094125-noID.wav","IRON05_20210730_094125-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4140","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094159-LoF.wav","IRON05_20210730_094159-LoF.wav",NA,NA,"",NA,NA,"","","","v.4.4.5"
"4141","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094216-noID.wav","IRON05_20210730_094216-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4142","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094233-noID.wav","IRON05_20210730_094233-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4143","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094251-noID.wav","IRON05_20210730_094251-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4144","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094332-noID.wav","IRON05_20210730_094332-noID.wav",NA,1,"",NA,60.43,"Laci","Laci","0.9962","v.4.4.5"
"4145","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094408-noID.wav","IRON05_20210730_094408-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4146","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094457-LoF.wav","IRON05_20210730_094457-LoF.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4147","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094514-noID.wav","IRON05_20210730_094514-noID.wav",NA,NA,"",NA,57.18,"","","","v.4.4.5"
"4148","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094526-noID.wav","IRON05_20210730_094526-noID.wav",NA,1,"",NA,58.39,"Laci","Laci","0.9962","v.4.4.5"
"4149","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094543-noID.wav","IRON05_20210730_094543-noID.wav",NA,NA,"",NA,60.69,"Laci","Laci","0.9563","v.4.4.5"
"4150","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094600-noID.wav","IRON05_20210730_094600-noID.wav",NA,1,"",NA,50.14,"","","NaN/NaN","v.4.4.5"
"4151","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094617-noID.wav","IRON05_20210730_094617-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4152","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094634-noID.wav","IRON05_20210730_094634-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4153","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094651-noID.wav","IRON05_20210730_094651-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4154","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094708-noID.wav","IRON05_20210730_094708-noID.wav",NA,1,"",NA,55.35,"","","NaN/NaN","v.4.4.5"
"4155","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094722-LoF.wav","IRON05_20210730_094722-LoF.wav",NA,NA,"",NA,65.27,"","","","v.4.4.5"
"4156","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094739-noID.wav","IRON05_20210730_094739-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4157","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094756-noID.wav","IRON05_20210730_094756-noID.wav",NA,NA,"",NA,76.88,"","","","v.4.4.5"
